condition,nodes,edges,length,objVal,calcTime
104_126_10000_F,"[72, 73, 106, 105, 104, 109, 54, 55, 56, 89, 91, 125, 126]","[(54, 55), (55, 56), (56, 125), (72, 73), (73, 54), (89, 72), (91, 89), (104, 105), (105, 106), (106, 109), (109, 91), (125, 126)]",9974,17.464589218999997,1.4640216827392578
104_126_15000_F,"[72, 73, 74, 106, 105, 109, 110, 104, 51, 52, 53, 54, 55, 56, 89, 58, 91, 92, 126, 127]","[(51, 52), (52, 55), (53, 51), (54, 53), (55, 56), (56, 58), (58, 127), (72, 73), (73, 74), (74, 54), (89, 72), (91, 89), (92, 91), (104, 105), (105, 106), (106, 109), (109, 110), (110, 92), (127, 126)]",14969,65.945926058,17.011493682861328
104_126_20000_F,"[32, 33, 34, 35, 36, 37, 51, 52, 54, 55, 56, 57, 58, 72, 73, 74, 78, 89, 91, 92, 104, 105, 106, 109, 110, 126, 127]","[(32, 33), (33, 36), (34, 35), (35, 37), (36, 34), (37, 56), (51, 32), (52, 51), (54, 57), (55, 52), (56, 58), (57, 55), (58, 78), (72, 73), (73, 74), (74, 54), (78, 127), (89, 72), (91, 89), (92, 91), (104, 105), (105, 106), (106, 109), (109, 110), (110, 92), (127, 126)]",19938,131.379236075,5.314720153808594
104_126_25000_F,"[21, 32, 33, 34, 35, 36, 51, 52, 54, 55, 56, 57, 58, 72, 73, 74, 77, 78, 89, 91, 92, 104, 105, 106, 109, 110, 112, 116, 117, 118, 120, 122, 123, 124, 126]","[(21, 117), (32, 33), (33, 36), (34, 35), (35, 21), (36, 34), (51, 32), (52, 51), (54, 57), (55, 52), (56, 55), (57, 77), (58, 56), (72, 73), (73, 74), (74, 54), (77, 78), (78, 58), (89, 72), (91, 89), (92, 91), (104, 105), (105, 106), (106, 109), (109, 112), (110, 92), (112, 110), (116, 118), (117, 116), (117, 118), (118, 120), (120, 123), (122, 126), (123, 124), (124, 122)]",26459,202.99888374300002,2.5232505798339844
104_10_spath,"[104, 105, 88, 89, 72, 73, 54, 52, 36, 34, 20, 19, 10]",[],9979,1.275255018,0
104_10_10000_F,"[34, 36, 72, 73, 10, 105, 104, 19, 20, 52, 54, 88, 89]","[(19, 10), (20, 19), (34, 20), (36, 34), (52, 36), (54, 52), (72, 73), (73, 54), (88, 89), (89, 72), (104, 105), (105, 88)]",9979,10.345089086,0.24235153198242188
104_10_15000_F,"[10, 21, 34, 35, 36, 52, 54, 55, 72, 73, 74, 89, 91, 92, 104, 105, 106, 109, 110, 116, 117]","[(21, 117), (34, 35), (35, 21), (36, 34), (52, 55), (54, 52), (55, 36), (72, 73), (73, 74), (74, 54), (89, 72), (91, 89), (92, 91), (104, 105), (105, 106), (106, 109), (109, 110), (110, 92), (116, 10), (117, 116)]",14929,72.369565571,3.9693241119384766
104_10_20000_F,"[10, 21, 34, 35, 36, 51, 52, 53, 54, 55, 57, 58, 72, 73, 74, 77, 78, 89, 91, 92, 104, 105, 106, 109, 110, 116]","[(21, 116), (34, 35), (35, 21), (36, 34), (51, 52), (52, 54), (53, 51), (54, 74), (55, 36), (57, 55), (58, 57), (72, 73), (73, 53), (74, 77), (77, 78), (78, 58), (89, 72), (91, 89), (92, 91), (104, 105), (105, 106), (106, 109), (109, 110), (110, 92), (116, 10)]",19988,136.970740017,4.149900436401367
104_10_25000_F,"[10, 21, 32, 33, 34, 35, 36, 37, 51, 52, 54, 55, 56, 57, 58, 70, 71, 73, 74, 77, 78, 79, 80, 89, 91, 92, 104, 105, 106, 108, 109, 110, 112, 116, 117]","[(21, 117), (32, 33), (33, 36), (34, 37), (35, 21), (36, 34), (37, 35), (51, 32), (52, 51), (54, 57), (55, 52), (56, 55), (57, 77), (58, 56), (70, 73), (71, 70), (73, 74), (74, 54), (77, 79), (78, 58), (79, 80), (80, 78), (89, 71), (91, 89), (92, 91), (104, 105), (105, 106), (106, 108), (108, 109), (109, 112), (110, 92), (112, 110), (116, 10), (117, 116)]",24930,200.54189697499996,8.30372428894043
104_17_spath,"[104, 105, 88, 89, 72, 73, 54, 52, 33, 17]",[],8096,0.36038156600000004,0
104_17_10000_F,"[34, 36, 72, 73, 74, 106, 105, 104, 17, 52, 54, 55, 89, 91]","[(34, 17), (36, 34), (52, 55), (54, 52), (55, 36), (72, 73), (73, 74), (74, 54), (89, 72), (91, 89), (104, 105), (105, 106), (106, 91)]",9948,26.126387195999996,2.028573989868164
