from,to,length,path
21,72,4984,"[21, 35, 37, 55, 54, 73, 72]"
21,73,3951,"[21, 35, 37, 55, 54, 73]"
21,74,3478,"[21, 35, 37, 55, 54, 74]"
21,76,4077,"[21, 35, 37, 55, 54, 74, 76]"
21,77,3844,"[21, 35, 37, 56, 58, 77]"
21,78,3621,"[21, 35, 37, 56, 58, 78]"
21,79,4249,"[21, 35, 37, 55, 54, 74, 79]"
21,80,4534,"[21, 35, 37, 56, 58, 78, 80]"
21,85,6864,"[21, 35, 36, 33, 51, 50, 69, 68, 85]"
21,86,6535,"[21, 35, 37, 55, 54, 73, 72, 89, 86]"
21,88,6571,"[21, 35, 37, 55, 54, 73, 72, 89, 88]"
21,89,5740,"[21, 35, 37, 55, 54, 73, 72, 89]"
21,90,5225,"[21, 35, 37, 55, 54, 74, 90]"
21,91,6371,"[21, 35, 37, 55, 54, 73, 72, 89, 91]"
21,92,5975,"[21, 35, 37, 55, 54, 74, 90, 92]"
21,93,5119,"[21, 35, 37, 55, 54, 74, 93]"
21,94,5063,"[21, 35, 37, 55, 54, 74, 76, 94]"
21,95,7936,"[21, 35, 37, 55, 54, 74, 76, 94, 96, 95]"
21,96,5560,"[21, 35, 37, 55, 54, 74, 76, 94, 96]"
21,97,5263,"[21, 35, 37, 55, 54, 74, 79, 97]"
21,104,8679,"[21, 35, 37, 55, 54, 73, 72, 89, 88, 105, 104]"
21,105,7473,"[21, 35, 37, 55, 54, 73, 72, 89, 88, 105]"
21,106,7135,"[21, 35, 37, 55, 54, 73, 72, 89, 88, 106]"
21,108,7738,"[21, 35, 37, 55, 54, 73, 72, 89, 88, 106, 108]"
21,109,7016,"[21, 35, 37, 55, 54, 73, 72, 89, 91, 109]"
21,110,6545,"[21, 35, 37, 55, 54, 74, 90, 92, 110]"
21,111,7682,"[21, 35, 37, 55, 54, 73, 72, 89, 91, 109, 111]"
21,112,7254,"[21, 35, 37, 55, 54, 74, 90, 92, 110, 112]"
21,116,849,"[21, 116]"
21,117,618,"[21, 117]"
21,118,1523,"[21, 117, 118]"
21,119,1397,"[21, 119]"
21,120,1683,"[21, 117, 120]"
21,121,2261,"[21, 35, 121]"
21,122,2579,"[21, 117, 120, 122]"
21,123,2462,"[21, 117, 120, 123]"
21,124,2744,"[21, 117, 120, 124]"
21,125,2333,"[21, 35, 37, 125]"
21,126,2962,"[21, 35, 121, 126]"
21,127,3073,"[21, 35, 37, 56, 127]"
21,129,3487,"[21, 117, 120, 124, 129]"
21,131,3628,"[21, 35, 37, 56, 58, 131]"
21,135,4317,"[21, 35, 37, 125, 135]"
29,10,4161,"[29, 17, 10]"
29,17,1899,"[29, 17]"
29,18,2997,"[29, 17, 18]"
29,19,3419,"[29, 20, 19]"
29,20,2583,"[29, 20]"
29,21,3557,"[29, 20, 21]"
29,29,0,
29,32,710,"[29, 32]"
29,33,1353,"[29, 32, 33]"
29,34,2421,"[29, 32, 33, 34]"
